书籍ID,书名,音频文件名,文本文件名,单元标题,关键词,关键句子
think0,think0,thinks101.mp3,thinks101.txt,Starter students book,,
think0,think0,thinks103.mp3,thinks103.txt,Listen to the sounds and repeat,"black, blue, brown, green, grey, orange,pink, purple, red, White, yellow",
think0,think0,thinks104.mp3,thinks104.txt,International words,,
think0,think0,thinks105.mp3,thinks105.txt,Saying Hello and Goodbye,"wi-fi,sushi,airport ,hotel,restaurant,bus,pizza,phone,caf ,football,tablet,hamburger,taxi,television ,sandwich,city,evening,night,morning,afternoon",
think0,think0,thinks106.mp3,thinks106.txt,classroom objects,"Bye, Good, have, Hi, How, morning,night, See you, thanks, this",
think0,think0,thinks107.mp3,thinks107.txt,number 0-20,"board, book, chair, computer, desk,door, pen, pencil, projector, window,",what's this? It's a an....
think0,think0,thinks108.mp3,thinks108.txt,phone number,"one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,sevening,eighteen,nineteen,twenty",
think0,think0,thinks109.mp3,thinks109.txt,Classroom language,"Phone,leave a message,after the tone",
think0,think0,thinks111.mp3,thinks111.txt,numbers 20-100,"open,listen,put hand up,look at,picture,mean,understand,right,wrong,close,work with ,partner",
think0,think0,thinks112.mp3,thinks112.txt,numbers,"thirty,forty,fifty,sixty,seventy,eighty,ninety,hundred",
think0,think0,thinks113.mp3,thinks113.txt,the message1,,
think0,think0,thinks114.mp3,thinks114.txt,the message2,"house,bus,number,See you,Friday",The house bus phone number is
think0,think0,thinks116.mp3,thinks116.txt,unit 1 talk about yourself and others,"bus station,stop,outside,problem,call",Any problems call me on
think0,think0,thinks117.mp3,thinks117.txt,unit 1 Countries and nationalities,"city,favourite,athlete,why.who,amazing,swimmer,great,runner,fast,tennis player,China,awesome,how,what,where",Whats your name?Where are you from?How old are you?Whats your favourite.
think0,think0,thinks118.mp3,thinks118.txt,unit 1 five questions h or w,"Japan,Spain,the USA,the UK,Africa,American","my favourite colours are,my favourite sport is my favourite animal is"
think0,think0,thinks120.mp3,thinks120.txt,unit 1 nationalities,,
think0,think0,thinks121.mp3,thinks121.txt,unit 1 dialogue,"welcome , minute ,challenge,nationality,Russian,South,Japanese,dish,Of course,correct,next, Ive no idea,actor",How many
think0,think0,thinks122.mp3,thinks122.txt,unit 1 getting to know somebody,"shirt,fanSmall,town,beautiful,country,late,time,",
think0,think0,thinks123.mp3,thinks123.txt,adjectives,,
think0,think0,thinks124.mp3,thinks124.txt,Just a little joke,,
